cluster_id,satellite_image_available,predicted_landcover_class,prediction_confidence,image_date,cloud_cover,image_source,observation_status,satellite_item_id
10,False,UNKNOWN,,2026-08-01,45.616505,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 45.6%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T43PHN_20260731T085614
11,False,UNKNOWN,,2026-08-01,73.473042,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 73.5%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T43PGN_20260731T085614
12,False,UNKNOWN,,2026-08-01,45.616505,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 45.6%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T43PHN_20260731T085614
13,False,UNKNOWN,,2026-08-01,52.634299,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44PLT_20260728T104345
14,False,UNKNOWN,,2026-08-01,39.894217,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 39.9%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T44PKT_20260731T085614
15,False,UNKNOWN,,2026-08-01,69.667917,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44PLU_20260802T095114
16,False,UNKNOWN,,2026-08-01,69.667917,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44PLU_20260802T095114
17,False,UNKNOWN,,2026-08-01,69.667917,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44PLU_20260802T095114
18,False,UNKNOWN,,2026-08-01,41.867697,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 41.9%, threshold: 30.0%)",S2A_MSIL2A_20260804T050241_R119_T44PMU_20260804T114612
19,False,UNKNOWN,,2026-08-01,58.200216,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 58.2%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44PKU_20260802T095114
20,False,UNKNOWN,,2026-08-01,92.030734,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 92.0%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QUD_20260730T093008
21,False,UNKNOWN,,2026-08-01,79.268587,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 79.3%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QNJ_20260802T095114
22,False,UNKNOWN,,2026-08-01,66.117454,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 66.1%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QQK_20260802T095114
23,False,UNKNOWN,,2026-08-01,66.117454,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 66.1%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QQK_20260802T095114
24,False,UNKNOWN,,2026-08-01,76.562101,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QPK_20260802T095114
25,False,UNKNOWN,,2026-08-01,87.782025,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 87.8%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVF_20260730T093008
26,False,UNKNOWN,,2026-08-01,90.676767,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 90.7%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T45QUG_20260804T082913
27,False,UNKNOWN,,2026-08-01,84.487921,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 84.5%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44QPM_20260728T104345
28,False,UNKNOWN,,2026-08-01,84.487921,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 84.5%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44QPM_20260728T104345
29,False,UNKNOWN,,2026-08-01,84.487921,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 84.5%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44QPM_20260728T104345
30,False,UNKNOWN,,2026-08-01,39.894217,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 39.9%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T44PKT_20260731T085614
31,False,UNKNOWN,,2026-08-01,45.616505,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 45.6%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T43PHN_20260731T085614
32,False,UNKNOWN,,2026-08-01,39.894217,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 39.9%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T44PKT_20260731T085614
33,False,UNKNOWN,,2026-08-01,79.949039,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 79.9%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T43PHP_20260731T085614
34,False,UNKNOWN,,2026-08-01,69.667917,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44PLU_20260802T095114
35,False,UNKNOWN,,2026-08-01,69.667917,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44PLU_20260802T095114
36,False,UNKNOWN,,2026-08-01,69.667917,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44PLU_20260802T095114
37,False,UNKNOWN,,2026-08-01,69.667917,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44PLU_20260802T095114
38,True,Pasture,0.4936,2026-07-28T05:46:41.025000Z,19.472805,Sentinel-2_L2A,Satellite CNN prediction: Pasture (confidence: 0.49),S2C_MSIL2A_20260728T054641_R048_T42RYR_20260728T085814
39,False,UNKNOWN,,2026-08-01,92.030734,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 92.0%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QUD_20260730T093008
40,False,UNKNOWN,,2026-08-01,91.30559,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 91.3%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T45QTD_20260804T082913
41,False,UNKNOWN,,2026-08-01,67.726368,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 67.7%, threshold: 30.0%)",S2C_MSIL2A_20260805T050651_R019_T44QKJ_20260805T102411
42,False,UNKNOWN,,2026-08-01,73.382789,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 73.4%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QNK_20260802T095114
43,False,UNKNOWN,,2026-08-01,73.382789,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 73.4%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QNK_20260802T095114
44,False,UNKNOWN,,2026-08-01,71.501476,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 71.5%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QUE_20260730T093008
45,False,UNKNOWN,,2026-08-01,84.445506,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 84.4%, threshold: 30.0%)",S2A_MSIL2A_20260729T044241_R033_T45QWE_20260729T095112
46,False,UNKNOWN,,2026-08-01,76.562101,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QPK_20260802T095114
47,False,UNKNOWN,,2026-08-01,76.562101,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QPK_20260802T095114
48,False,UNKNOWN,,2026-08-01,76.562101,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QPK_20260802T095114
49,False,UNKNOWN,,2026-08-01,84.445506,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 84.4%, threshold: 30.0%)",S2A_MSIL2A_20260729T044241_R033_T45QWE_20260729T095112
50,False,UNKNOWN,,2026-08-01,84.445506,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 84.4%, threshold: 30.0%)",S2A_MSIL2A_20260729T044241_R033_T45QWE_20260729T095112
51,False,UNKNOWN,,2026-08-01,90.676767,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 90.7%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T45QUG_20260804T082913
52,False,UNKNOWN,,2026-08-01,89.030844,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 89.0%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T45QTG_20260804T082913
53,False,UNKNOWN,,2026-08-01,94.572735,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVG_20260730T093008
54,False,UNKNOWN,,2026-08-01,70.634681,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 70.6%, threshold: 30.0%)",S2B_MSIL2A_20260801T043659_R033_T45QWG_20260801T082248
55,False,UNKNOWN,,2026-08-01,94.572735,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVG_20260730T093008
56,False,UNKNOWN,,2026-08-01,89.030844,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 89.0%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T45QTG_20260804T082913
57,False,UNKNOWN,,2026-08-01,94.572735,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVG_20260730T093008
58,False,UNKNOWN,,2026-08-01,94.572735,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVG_20260730T093008
59,False,UNKNOWN,,2026-08-01,94.572735,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVG_20260730T093008
60,True,Pasture,0.9403,2026-07-31T05:06:49.024000Z,2.178389,Sentinel-2_L2A,Satellite CNN prediction: Pasture (confidence: 0.94),S2B_MSIL2A_20260731T050649_R019_T43PHK_20260731T085614
61,True,SeaLake,0.9499,2026-07-31T05:06:49.024000Z,5.154785,Sentinel-2_L2A,Satellite CNN prediction: SeaLake (confidence: 0.95),S2B_MSIL2A_20260731T050649_R019_T44PKR_20260731T085614
62,False,UNKNOWN,,2026-08-01,69.509083,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 69.5%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QPL_20260802T095114
63,False,UNKNOWN,,2026-08-01,90.676767,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 90.7%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T45QUG_20260804T082913
64,False,UNKNOWN,,2026-08-01,90.676767,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 90.7%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T45QUG_20260804T082913
65,False,UNKNOWN,,2026-08-01,94.572735,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVG_20260730T093008
66,False,UNKNOWN,,2026-08-01,94.572735,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVG_20260730T093008
67,False,UNKNOWN,,2026-08-01,90.676767,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 90.7%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T45QUG_20260804T082913
68,False,UNKNOWN,,2026-08-01,94.572735,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVG_20260730T093008
69,False,UNKNOWN,,2026-08-01,94.572735,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVG_20260730T093008
70,False,UNKNOWN,,2026-08-01,94.572735,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVG_20260730T093008
71,False,UNKNOWN,,2026-08-01,90.676767,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 90.7%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T45QUG_20260804T082913
72,False,UNKNOWN,,2026-08-01,71.741408,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 71.7%, threshold: 30.0%)",S2A_MSIL2A_20260803T053251_R105_T43RDH_20260803T144710
73,False,UNKNOWN,,2026-08-01,61.27004,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 61.3%, threshold: 30.0%)",S2C_MSIL2A_20260727T043701_R033_T45RWH_20260727T094703
74,False,UNKNOWN,,2026-08-01,91.106415,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 91.1%, threshold: 30.0%)",S2C_MSIL2A_20260729T051651_R062_T44RLQ_20260729T101458
75,False,UNKNOWN,,2026-08-01,71.462667,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 71.5%, threshold: 30.0%)",S2B_MSIL2A_20260803T051649_R062_T43QGV_20260803T090709
76,False,UNKNOWN,,2026-08-01,58.294326,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 58.3%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T44QQE_20260804T082913
77,False,UNKNOWN,,2026-08-01,59.787464,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 59.8%, threshold: 30.0%)",S2C_MSIL2A_20260805T050651_R019_T43QHD_20260805T102411
78,False,UNKNOWN,,2026-08-01,98.520106,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 98.5%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T44QMJ_20260731T085614
79,False,UNKNOWN,,2026-08-01,79.268587,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 79.3%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QNJ_20260802T095114
80,False,UNKNOWN,,2026-08-01,79.268587,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 79.3%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QNJ_20260802T095114
81,False,UNKNOWN,,2026-08-01,88.173217,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 88.2%, threshold: 30.0%)",S2C_MSIL2A_20260805T050651_R019_T44QLJ_20260805T102411
82,False,UNKNOWN,,2026-08-01,79.268587,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 79.3%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QNJ_20260802T095114
83,False,UNKNOWN,,2026-08-01,76.562101,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QPK_20260802T095114
84,False,UNKNOWN,,2026-08-01,76.562101,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QPK_20260802T095114
85,False,UNKNOWN,,2026-08-01,76.562101,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QPK_20260802T095114
86,False,UNKNOWN,,2026-08-01,76.562101,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QPK_20260802T095114
87,False,UNKNOWN,,2026-08-01,76.562101,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QPK_20260802T095114
88,False,UNKNOWN,,2026-08-01,38.058025,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 38.1%, threshold: 30.0%)",S2C_MSIL2A_20260805T050651_R019_T43PGM_20260805T101109
89,False,UNKNOWN,,2026-08-01,52.634299,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44PLT_20260728T104345
90,False,UNKNOWN,,2026-08-01,61.620885,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 61.6%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44PLT_20260802T095114
91,False,UNKNOWN,,2026-08-01,73.473042,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 73.5%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T43PGN_20260731T085614
92,False,UNKNOWN,,2026-08-01,79.949039,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 79.9%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T43PHP_20260731T085614
93,True,SeaLake,0.8677,2026-07-31T05:06:49.024000Z,2.178389,Sentinel-2_L2A,Satellite CNN prediction: SeaLake (confidence: 0.87),S2B_MSIL2A_20260731T050649_R019_T43PHK_20260731T085614
94,False,UNKNOWN,,2026-08-01,57.410944,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 57.4%, threshold: 30.0%)",S2B_MSIL2A_20260730T053639_R005_T43RCK_20260730T091623
95,False,UNKNOWN,,2026-08-01,85.91702,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 85.9%, threshold: 30.0%)",S2C_MSIL2A_20260728T054641_R048_T42QWL_20260728T085814
96,True,SeaLake,0.6154,2026-07-28T04:56:59.024000Z,15.045248,Sentinel-2_L2A,Satellite CNN prediction: SeaLake (confidence: 0.62),S2B_MSIL2A_20260728T045659_R119_T44PLS_20260728T104345
97,False,UNKNOWN,,2026-08-02,52.634299,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44PLT_20260728T104345
98,False,UNKNOWN,,2026-08-02,52.634299,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44PLT_20260728T104345
99,False,UNKNOWN,,2026-08-02,52.634299,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44PLT_20260728T104345
100,False,UNKNOWN,,2026-08-02,52.634299,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44PLT_20260728T104345
101,False,UNKNOWN,,2026-08-02,69.667917,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44PLU_20260802T095114
102,False,UNKNOWN,,2026-08-02,79.949039,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 79.9%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T43PHP_20260731T085614
103,False,UNKNOWN,,2026-08-02,86.371487,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 86.4%, threshold: 30.0%)",S2C_MSIL2A_20260805T050651_R019_T43PHR_20260805T101109
104,False,UNKNOWN,,2026-08-02,90.955275,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 91.0%, threshold: 30.0%)",S2C_MSIL2A_20260805T050651_R019_T44PLB_20260805T101109
105,False,UNKNOWN,,2026-08-02,91.367048,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 91.4%, threshold: 30.0%)",S2B_MSIL2A_20260803T051649_R062_T43PFS_20260803T090709
106,False,UNKNOWN,,2026-08-02,55.771196,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 55.8%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QME_20260802T095114
107,False,UNKNOWN,,2026-08-02,80.609792,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 80.6%, threshold: 30.0%)",S2C_MSIL2A_20260802T045701_R119_T44QPG_20260802T095114
108,False,UNKNOWN,,2026-08-02,91.30559,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 91.3%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T45QTD_20260804T082913
109,False,UNKNOWN,,2026-08-02,92.838264,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 92.8%, threshold: 30.0%)",S2B_MSIL2A_20260804T044659_R076_T44QRK_20260804T082913
110,False,UNKNOWN,,2026-08-02,68.05796,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 68.1%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T44QRK_20260730T093008
111,False,UNKNOWN,,2026-08-02,73.324865,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 73.3%, threshold: 30.0%)",S2A_MSIL2A_20260729T044241_R033_T45QVE_20260729T095112
112,False,UNKNOWN,,2026-08-02,71.501476,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 71.5%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QUE_20260730T093008
113,False,UNKNOWN,,2026-08-02,95.883894,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 95.9%, threshold: 30.0%)",S2C_MSIL2A_20260731T041551_R090_T46REP_20260731T075309
114,False,UNKNOWN,,2026-08-02,77.160925,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 77.2%, threshold: 30.0%)",S2A_MSIL2A_20260803T053251_R105_T43RFM_20260803T144710
115,False,UNKNOWN,,2026-08-02,44.678536,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 44.7%, threshold: 30.0%)",S2A_MSIL2A_20260803T053251_R105_T43REN_20260803T144710
116,False,UNKNOWN,,2026-08-02,77.115369,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 77.1%, threshold: 30.0%)",S2A_MSIL2A_20260803T053251_R105_T43RGN_20260803T144710
117,True,SeaLake,0.878,2026-08-07T05:46:41.025000Z,19.36565,Sentinel-2_L2A,Satellite CNN prediction: SeaLake (confidence: 0.88),S2C_MSIL2A_20260807T054641_R048_T43RCP_20260807T085410
118,True,SeaLake,0.9329,2026-07-31T05:06:49.024000Z,2.178389,Sentinel-2_L2A,Satellite CNN prediction: SeaLake (confidence: 0.93),S2B_MSIL2A_20260731T050649_R019_T43PHK_20260731T085614
119,True,HerbaceousVegetation,0.7903,2026-07-31T05:06:49.024000Z,10.03412,Sentinel-2_L2A,Satellite CNN prediction: HerbaceousVegetation (confidence: 0.79),S2B_MSIL2A_20260731T050649_R019_T43PHL_20260731T085614
120,False,UNKNOWN,,2026-08-02,52.634299,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44PLT_20260728T104345
121,False,UNKNOWN,,2026-08-02,81.598979,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 81.6%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T44PKU_20260731T085614
