osm_type,osm_id,name,latitude,longitude
node,13677496994,Fire station (unnamed),8.100624,98.979603
way,542782508,Fire Station 2,8.104853,98.301414
way,542782498,Fire Station 1,8.11438,98.309937
node,5003290157,Fire station (unnamed),8.177842,77.42595
way,828938531,Fire Station Minicoy,8.281264,73.054563
node,1623278706,Kollencode Fire Station,8.284415,77.117171
node,8987498155,"Fair and rescue Station, Poovar",8.325157,77.075175
way,979397756,Fire and Rescue Station Poovar,8.325223,77.075161
way,910677527,Anuradhapura Fire Rescue Office,8.326159,80.407746
way,497633471,Anuradhapura Fire Rescue Office,8.326247,80.407785
node,1685476665,Tisaiyanvillai Fire Station,8.337157,77.853051
way,762837766,"Fire and Rescue Station, Parassala",8.347103,77.160279
node,8835878279,"Fire and Rescue Station, Parassala",8.34713,77.160284
way,823169727,"Fire and Rescue Station, Vizhinjam",8.384916,76.983457
way,1002562442,fire station,8.406858,77.083463
way,823170810,"Fire and Rescue Station, Neyyattinkara",8.406862,77.083463
way,475936728,"Fire and Rescue Station, Chackai",8.489801,76.914993
way,954615532,"Fire and Rescue Station, Kattakkada",8.494311,77.062499
way,750328231,"Fire and Rescue Station, Chengalchoola",8.494489,76.952538
node,14003936738,VSSC Fire Staton,8.52446,76.880589
way,954615533,Fire and Rescue Station Neyyar Dam,8.524811,77.130405
way,750328423,Fire and Rescue Station Technopark,8.559818,76.878139
node,7701313019,Fire station (unnamed),8.581093,81.227653
way,954615534,"Fire and Rescue Station, Nedumangadu",8.615451,76.981603
node,14089000492,Fire station (unnamed),8.669007,99.924434
way,972577671,"Fire and Rescue Station, Vithura",8.669326,77.083492
way,954620623,"Fire and Rescue Station, Keezhayikkonam",8.70434,76.904648
node,7130230413,Fire and Rescue Station Keezhayikonam,8.704496,76.904489
way,774543662,"Fire and Rescue Station, Poovanpara, Attingal",8.710948,76.812628
way,1442919035,Airport Fire Station,8.728376,78.024356
way,954620624,"Fire and Rescue Station, Varkkala",8.733353,76.727514
node,12621901264,Fire And Rescue Service Station,8.802312,78.153765
way,954620625,"Fire and Rescue Station, Paravoor",8.814694,76.671379
way,1102553611,Fire station (unnamed),8.824964,76.921976
way,1102553610,fire and rescue station kadakkal,8.824971,76.92194
way,959109240,Fire station (unnamed),8.825319,76.921195
way,697723070,สถานีดับเพลิง 2,8.828194,98.367982
way,822112392,Fire station (unnamed),8.851979,98.3446
way,816145854,Fire station (unnamed),8.865783,98.340526
way,410454664,"Fire and Rescue Station, Chamakkada",8.883985,76.584394
node,8068250599,Fire&Rescue Station Chamakkada,8.888476,76.583697
way,1452265922,"Fire and Rescue Station, Kadappakkada",8.889736,76.60208
way,790305249,"Fire and Rescue Station, Kollam",8.891946,76.603245
way,801761916,"Fire and Rescue Station, Kundara",8.965625,76.67138
node,1918542001,Surandai Fire Station,8.97083,77.420194
way,954620626,"Fire and Rescue Station, Kottrakkara",9.004065,76.78405
node,8559616288,Fire station (unnamed),9.005842,76.536004
way,753624335,"Fire and Rescue Station, Chavara",9.006332,76.537127
way,954620628,"Fire and Rescue Station, Sasthamcotta",9.010023,76.929475
way,1452602445,Fire & Rescue Pathanapuram,9.042172,76.855438
way,800267764,Fire and Rescue Station Sasthamcotta,9.046761,76.626952
node,8067982146,Fire Station Sasthamcotta,9.046764,76.626958
node,8567498773,Fire station (unnamed),9.048459,76.629239
way,758306707,Fire and Rescue Station,9.05478,76.534324
way,323781603,Fire Station 2,9.1324,99.1409
way,323781605,Fire station (unnamed),9.133885,99.142261
way,1513978054,Fire Station 1,9.135297,99.143681
way,1094222679,Fire station (unnamed),9.140272,99.321761
way,755415145,Fire and Rescue Station Adoor,9.159449,76.724396
way,750328729,"Fire and Rescue Station, Kayamkulam",9.179936,76.496898
node,10035962365,Fire and Rescue Station,9.187315,76.518601
way,366858550,Fire and Rescue Station Konni,9.229098,76.852039
node,9287373633,FIRE STATION KONNI,9.229288,76.852021
way,755415622,"Fire and Rescue Station, Mavelikara",9.245292,76.53373
way,979397755,"Fire and Rescue Station, Pathanamthitta",9.264875,76.793422
node,7453415391,Fire and Rescue Station Pathanamthitta,9.264886,76.793397
node,10139117384,"Fire and Rescue Service, Kumarapuram",9.277837,76.441889
way,954620629,"Fire and Rescue Station, Harippad",9.278858,76.443199
way,798473311,"Fire and Rescue Station, Chengannur",9.317967,76.617152
way,979397754,"Fire and Rescue Station, Seethathodu",9.332376,76.971536
node,14045983574,Sattur Fire Station,9.362232,77.91675
way,690019838,Fire and Rescue Station Thiruvalla,9.381213,76.569731
way,684178694,"Fire and Rescue Station, Changanassery",9.443749,76.541888
node,9060927690,District Fire Office,9.497228,76.348815
way,644454817,"Fire and Rescue Station, Alappuzha",9.497242,76.348859
way,639214831,"District Fire & Rescue Office Alappuzha (Assistant Divisional Office), Alappuzha",9.497969,76.349096
node,12280775271,Fire station (unnamed),9.516751,77.631596
node,4078143021,Fire station (unnamed),9.521742,99.940641
way,739764020,"Fire and Rescue Station, Kanjirappaly",9.560838,76.800202
way,554513197,"Fire and Rescue Station, Pampady",9.570315,76.639246
way,956323974,"Fire and Rescue Station, Perumade",9.57543,76.992092
node,3816579578,"Fire and Rescue Station, Perumade",9.575444,76.992046
way,798315531,"Fire and Rescue Station, Kottayam",9.587628,76.520772
node,9060927689,Regional Fire Office,9.587654,76.520787
node,9060927688,Office of District Fire Officer,9.587682,76.520788
node,4419269499,Virudhunagar Fire Station,9.593434,77.953921
way,620246127,"Fire and Resccue Station, Kottayam",9.641756,76.37161
way,581529246,Fire station (unnamed),9.673782,80.033234
node,3564749671,Fire Brigade,9.673872,80.033287
way,627797054,"Fire and Rescue Station, Cherthala",9.679342,76.340588
way,979393619,"Fire and Rescue Station, Erattupetta",9.685062,76.77841
way,888926911,"Fire and Rescue Station, Pala",9.720322,76.688341
way,802696318,"Fire and Rescue station, Palai",9.720382,76.690634
node,7517648167,Fire and Rescue Station Vaikom,9.749682,76.412518
way,1088095495,Fire and rescue Station Vaikom,9.749805,76.412539
way,784216591,"Fire and Rescue Station, Kattapana",9.752062,77.109858
way,979354527,"Fire and Rescue Station, Kaduthuruthy",9.755649,76.503542
way,979354528,Fire and Rescue Station MOOLAMATTOM,9.789213,76.853
way,1223453326,Fire station (unnamed),9.795872,80.069003
way,979370893,"Firea and Rescue Station, Nedumkandam",9.836579,77.160297
way,1105131964,Madurai Airport Fire Station,9.837,78.093434
way,979370892,"Fire and Rescue Station, Cheruthony",9.853304,76.969826
way,1001635940,"Fire and Rescue Station,Koothatukulam",9.864164,76.591618
way,1014144875,"Fire Station,Piravom",9.87181,76.489739
way,620544868,"Fire And Rescue Station, Aroor",9.882936,76.301208
way,979354525,"Fire and Rescue Station, Thodupuzha",9.898442,76.703537
way,966163917,"Fire & Rescue Station, Mulanthuruthy",9.912264,76.406803
node,9381658867,"Fire and rescue station ,Tripunithra",9.935814,76.352054
way,798527825,"Fire and Rescue Station, Tripunithura",9.935838,76.352137
way,755416674,"Fire and Rescue Station, Mattancherry",9.958849,76.257697
node,13308188901,ศูนย์ป้องกันและบรรเทาสาธารณภัยเทศบาลเมืองระนอง (ดับเพลิงระนอง),9.96332,98.640857
node,13316683801,Fire station (unnamed),9.96333,98.640486
way,1486478518,Fire station (unnamed),9.963535,98.640415
way,799120097,"Fire and Rescue Station, Kalloorkad",9.964904,76.671103
node,7463868461,Fire and Rescue Station,9.96914,76.284833
way,1360903747,Fire station (unnamed),9.974252,76.295541
way,755416485,District Fire & Rescue Station,9.974281,76.295558
node,11704367166,မီးသတ်,9.97788,98.548253
way,979455647,Fire and Rescue Station Muvattupuzha,9.989477,76.584783
way,798196259,"Fire and Rescue Station, Adimali",10.007305,76.968125
node,10083145455,Fire and Rescue Station,10.007372,76.967841
way,978980109,"Fire and Rescue Station, Thrikkakara",10.019514,76.334107
way,798017068,Fire station (unnamed),10.057106,76.617227
way,730818942,Fire station (unnamed),10.064272,78.776016
node,4708279357,Fire and Rescue Station Vallarpadam,10.069504,76.313641
node,9976314646,Fire Station,10.072167,76.317397
way,667715321,Fire station (unnamed),10.075995,76.318063
way,798646673,Fire and Rescue Station Aluva,10.107517,76.350908
way,620064155,"Fire and Rescue Station, Perumbavoor",10.117285,76.493352
node,9298333288,"Fire Station, North Paravur",10.149217,76.234507
way,978980108,"Fire and Rescue Station, Paravur",10.151729,76.242019
node,8843840992,"Fire Station, North Paravur",10.151738,76.242026
way,254120196,CIAL Fire Station,10.155701,76.403173
node,9285630419,Kerala fire and rescue station,10.178251,76.37411
way,474863896,Fire and Rescue Station Angamaly,10.179423,76.378518
way,955378583,"Fire And Rescue Station, Mala",10.225389,76.249083
way,801664171,Fire and Rescue Station,10.226087,76.249483
node,9289451217,Fire station,10.23963,76.205354
way,666195391,"Fire and Rescue Station, Kodungallur",10.239638,76.205331
node,8541103819,Fire station (unnamed),10.268209,78.539599
node,10712065073,Fire Station Chalakudy,10.301481,76.337998
node,12290232366,Fire And Rescue Services Station,10.359544,77.968078
way,717866687,"Fire and Rescue Station, Irinjalakuda",10.361284,76.213267
way,801998481,"Fire and Rescue Station, Valappad",10.401313,76.118122
way,952249806,"Fire And Rescue Station, Pudukkad",10.416587,76.271353
node,5411866270,Fire station (unnamed),10.494521,99.179882
node,8077369885,FIRESTATION THRISSUR,10.51713,76.217015
node,9058337974,District Fire and Rescue Office Thrissur,10.517502,76.216872
way,453249819,"Fire and Rescue Station, Viyyur",10.555862,76.22375
way,843061098,Fire and Rescue Station Thrissur,10.558678,76.226531
node,2167520192,Fire station (unnamed),10.587115,92.557784
way,866552481,"Fire and Rescue Station, Guruvayoor",10.594347,76.045051
way,843060674,"Fire and Rescue Station, Vadakkencherry",10.604549,76.499773
way,978980107,"Fire and Rescue Station, Alathur",10.644876,76.547702
way,843061940,Fire station (unnamed),10.658339,76.071461
node,8078222391,"Fire and Rescue Station, Kunnamkulam",10.65883,76.067632
way,978980106,"Fire and Rescue Station, Kunnamkulam",10.658905,76.067625
way,760457109,"Fire and Rescue Station, Wadakkanchery",10.665915,76.250364
way,376042235,"Fire and Rescue Station, Chittur",10.687715,76.717803
node,7348066258,Koothanallur Fire  Station,10.718776,79.523731
node,9058337949,District Fire Office.Palakkad,10.759825,76.659118
way,194947978,"Fire and Rescue Station, Palakkad",10.759868,76.659166
node,9058337948,"Regional Fire Office, Fire and Rescue Services, Palakkad",10.759897,76.659118
way,454614813,Fire station (unnamed),10.763592,78.718709
way,1535747103,BHEL Fire Station,10.767851,78.789464
way,978926466,"Fire and Rescue Station, Ponnani",10.767928,75.923394
way,373856193,"Fire and Rescue Station, Shoranur",10.776419,76.280489
node,11810827239,Fire station (unnamed),10.781329,79.607638
way,372546200,"Fire and Rescue Station, Kanjikode",10.792085,76.728057
way,1102514788,Fire and Rescue Office,10.805507,76.194275
node,9331495523,"Fire Station, Peringod",10.866104,76.478723
node,1603833215,Fire station (unnamed),10.866351,72.194204
way,884350172,"Fire and Rescue Station, Tirur",10.913016,75.924835
way,978926465,"Fire and Rescue Station, Perinthalmanna",10.973565,76.23428
way,942908659,"Fire and Rescue Station, Mannarkad",10.984421,76.4244
node,13673513631,Fire station (unnamed),10.987174,76.844744
node,10026140197,Government Fire Station,10.99389,75.868004
way,1385752911,Coimbatore Fire Staion,10.997955,76.968512
way,663434710,Kangeyam Fire Station,11.008049,77.561336
way,1302295327,Fire and Rescue Services Station,11.019251,77.127932
way,1016623992,Fire station (unnamed),11.034173,77.042936
node,942754044,Ganapathy FireStation,11.039199,76.997501
way,594656061,Tamilnadu fire and rescue services,11.044095,76.948516
way,746271913,"District Fire and Rescue Office, Malappuram",11.052802,76.090725
node,7515405364,"Fire and Rescue Station, Manjeri",11.109145,76.119888
way,803429404,Fire and Rescue Station Manjeri,11.109219,76.119861
node,13621977252,Fire station (unnamed),11.121769,77.331308
way,965521117,Airport Fire Station,11.139094,75.95361
node,13621972630,Fire station (unnamed),11.187571,77.279229
way,959795303,"Fire and Rescue Office, Thiruvali",11.201405,76.179381
node,2651969438,Fire station (unnamed),11.206968,99.508915
node,9057816794,"Fire and Rescue Station, Meenchanda",11.214533,75.799301
way,746271888,"Fire and Rescue Station, Meenchanda",11.214553,75.799273
way,746271741,"Fire And Rescue Station, Kozhikode Beach",11.254822,75.773501
node,10598653371,Fire station (unnamed),11.261577,98.763941
way,959811021,"Fire & Rescue Station, Nilambur",11.272591,76.229814
way,800663934,Fire and Rescue Station Vellimaadukunnu,11.290721,75.816487
node,10721291559,"Fire and Rescue Station, Vellimadukunnu",11.290808,75.816646
way,792949590,"Fire and Rescue Station, Vellimaadukunnu",11.290823,75.81667
node,1473264367,Mettupalayam Fire Station,11.293845,76.951239
way,839778381,"Fire and Rescue Station, Mukkam",11.327488,75.988264
node,10030914135,"Fire Force, Mukkam",11.327766,75.988439
node,12395555373,Erode District Fire Station,11.332637,77.727253
node,6353479485,Fire station (unnamed),11.344091,99.555517
way,247350565,Fire station (unnamed),11.345491,99.560759
way,946944918,"Kerala Fire and Rescue Station, Narikkuni",11.372718,75.852627
node,6032167264,Fire Station Chidambaram,11.393961,79.702725
node,2576823001,Fire station (unnamed),11.401132,99.516792
node,7456302701,Fire and Rescue Station Koyilandy,11.443714,75.693613
way,978980105,"Fire and Rescue Station, Koyilandy",11.443733,75.693623
node,8422730392,Fire Station,11.443928,75.693427
way,803033363,"Fire and Rescue Station, Perambra",11.562807,75.747288
way,803587469,"Fire and Rescue Station, Kalpetta",11.598703,76.080355
way,846694910,"Fire and Rescue Station, Vadakara",11.610258,75.590853
way,846694909,"Fire and Rescue Station, Vadakara",11.610268,75.59065
node,14019213388,Fire station (unnamed),11.647433,92.735797
node,4305461798,Fire station (unnamed),11.653941,78.151135
node,13980252374,Fire station (unnamed),11.66699,92.743248
way,858033838,"Fire and Rescue Station, Sulthan Bathery",11.669548,76.262038
node,13621883557,Fire station (unnamed),11.671229,77.129744
node,5252129921,Fire station (unnamed),11.674235,92.73729
node,7388516548,"Fire and Rescue Station, Chelakadu",11.684318,75.682274
way,978922873,"Fire and Rescue Station, Chelakadu",11.68434,75.682289
way,836177898,Kallakurichi Fire Station,11.739404,78.948198
way,744212695,"Fire and Rescue Station, Thalassery",11.748179,75.487168
way,978980104,"Fire and Rescue Station, Panoor",11.760175,75.583812
node,5918012538,အရန်မီးသတ်,11.793529,99.628817
node,5918012529,မီးသတ်စခန်း,11.794598,99.633486
node,11846087225,Mettur FIre and Rescue Dept.,11.801849,77.826911
way,978922872,"Fire and Rescue Station, Mananthavadi",11.802167,76.031439
way,979455646,"Fire and Rescue Station, Koothuparamba",11.831646,75.574845
way,815847567,Fire station (unnamed),11.833129,93.029784
way,726095732,"Fire and Rescue Station, Kannur",11.864161,75.367603
way,744212589,Fire and Rescue Station Kannur,11.867579,75.367379
way,895243014,"Fire and Rescue Station, Peravoor",11.895904,75.732808
way,653356117,"Fire and Rescue Station, Kannur Airport 1",11.912062,75.537767
node,13821605823,Fire station (unnamed),11.916433,99.753751
way,653356110,"Fire and Rescue Station, Kannur Airport Station 2",11.918581,75.555252
way,1192455106,Fire station (unnamed),11.924528,79.832447
node,4316621643,Pondicherry Fire Department;Villa Labourdonna's Guest House,11.926059,79.831986
node,6453838002,ကျေးရွာမီးသတ်ဌာန,11.935414,99.074319
way,754481450,"Fire and Rescue Station, Mattannur",11.937943,75.56112
way,1454237136,Villupuram Fire Station,11.943265,79.487333
node,6485835443,Fire Control Room,11.951915,79.800112
way,978816828,"Fire and Rescue Station, Iritty",11.990796,75.672278
node,10091634792,Fire and Rescue Station,12.00475,75.541425
node,10091440620,Fire and Rescue Station,12.029822,75.506369
way,978816827,"Fire and Rescue Station, Taliparamba",12.043248,75.379071
node,5249927921,Fire station (unnamed),12.085222,99.007573
way,978816826,"Fire and Rescue Station, Payyanur",12.119564,75.209557
way,744212544,"Fire and Rescue Station, Trikkaripur",12.163629,75.177499
way,964994432,"Fire and Rescue Station, Peringome",12.225791,75.313536
node,6453838038,တကူမီးသတ်,12.259075,99.038326
node,6453837904,မီးသတ်ရုံး,12.290823,99.036041
node,6359499505,Fire station (unnamed),12.295967,78.074067
way,1075468272,Saraswathipuram Fire Station,12.303735,76.63456
node,11248279569,Fire station (unnamed),12.310576,76.317391
way,800646444,"Fire and Rescue Station, Kanhangad",12.313113,75.090435
node,12320021520,Fire Station,12.332831,78.348946
way,315426772,Fire Station,12.343285,76.656502
node,4733435849,Fire station (unnamed),12.393501,99.988264
node,6630947655,Fire station (unnamed),12.417297,76.688124
node,1900761944,Fire station (unnamed),12.425265,75.727155
way,1544838660,Fire station (unnamed),12.434872,98.604616
node,14051704701,ကန်ဘောင်ရိုး မီးသတ်,12.434873,98.604617
way,1544839208,ပါရမီ မီးသတ်,12.438468,98.604637
node,3084268475,မြိတ်ခရိုင်မီးသတ်တပ်ဖွဲ့,12.441664,98.600351
node,4238695534,Dawei Su Fire Service,12.443368,98.598149
way,788093608,"Fire and Rescue Station, Kuttikkol",12.47755,75.208933
node,14004482756,Fire station (unnamed),12.506199,92.93215
way,802852196,"Fire and Rescue Station, Karandakkad",12.5093,74.986316
node,9056899016,District Fire Office,12.509359,74.986253
node,7903002235,Fire station (unnamed),12.524657,78.217143
way,268713037,Fire station (unnamed),12.536555,76.914654
way,1552033919,Fire station (unnamed),12.543262,78.36501
node,2189276216,Fire station (unnamed),12.567933,99.955512
node,1987151036,Fire station (unnamed),12.575539,75.385099
way,978807041,"Fire and Rescue Station, Ambar",12.660414,74.925147
way,1050547521,Ramanagara Fire Station,12.742994,77.310621
node,13097016990,Fire station (unnamed),12.755166,77.801805
node,4746281682,Fire station (unnamed),12.783279,99.967984
node,5304198425,Fire station (unnamed),12.831017,80.222431
way,231411029,Electronics City Fire Station,12.835499,77.662697
way,1134831507,Anjanapura Fire Station,12.858841,77.563454
way,1459205289,Fire station (unnamed),12.859807,74.841405
way,1134831508,Hulimavu Fire Station,12.872352,77.598815
node,4693434964,Vellore Fire station,12.914123,79.131245
way,232431996,Sarjapura Road Firestation,12.916813,77.673857
way,1134831509,Banashankari Fire Station,12.922146,77.561183
node,10859732817,Fire station (unnamed),12.929797,79.329197
way,788256779,Jayanagara Fire Station,12.933795,77.600289
way,1134831506,Nagarbhavi Fire Station,12.935415,77.510028
node,3029313653,Tamil Nadu Fire and Rescue Services,12.943636,80.133596
way,485799116,Fire Station Gudiyattam,12.946122,78.873833
way,327984740,Fire House,12.958846,74.888337
way,1134831510,Bengaluru North Fire Station,12.962504,77.563432
way,328099012,Old Fire House,12.963206,74.889114
way,1428296785,Fire station (unnamed),12.96857,79.154408
way,325781833,Office of the Chief Fire Officer,12.972836,77.610257
node,10603435260,Fire station (unnamed),12.973446,98.638853
way,1134831504,Sunkadakatte Fire Station,12.97537,77.425043
node,5354315736,Fire service station;Fire Force Service center,12.976853,80.227634
way,450938307,Fire Service မြို့နယ်မီးသတ်,12.977096,98.644092
node,10579312537,Bengaluru Secretariat Fire Station,12.977764,77.588805
way,1076398554,High Grounds Fire Station,12.980594,77.579931
way,1136503963,Rajajinagar Fire Station,12.980657,77.548502
way,1101376586,Whitefield Fire Station,12.98732,77.732111
way,1096512891,Fire station (unnamed),12.988477,80.171679
way,620705901,Chennai International Airport Fire Station 2,12.992503,80.166022
way,668040798,Mahadevapura Fire Station,12.99847,77.702364
node,6991535449,ITI Fire Station,13.003798,77.67864
node,2373933275,Hassan Fire Station,13.008726,76.122579
way,1364481599,Banaswadi Fire Station,13.011612,77.645997
way,1134831513,Fire Station,13.022621,77.549913
way,1134831512,Peenya Fire Station,13.02795,77.520561
node,11939010319,Fire station (unnamed),13.028018,77.520817
node,2427727851,Fire station (unnamed),13.035131,80.230692
way,217731034,Fire and Rescue station,13.035212,80.230626
way,211274291,Fire station (unnamed),13.042939,80.277719
node,302899362,Teynampet FS,13.047447,80.249119
node,928264962,Hebbal Fire Station,13.048249,77.618528
node,264480826,Fire station (unnamed),13.063776,80.235682
way,1134831514,Hoskote Fire Station,13.065981,77.778987
way,1107911283,Egmore fire and Rescue station,13.068633,80.261333
way,1122111815,Esplanade Fire Station,13.086478,80.286063
node,6112964504,Nelamangala Fire Station,13.09972,77.389359
way,1172399106,Washermanpet Fire & Rescue Station,13.10244,80.274401
way,1105414357,Moolakothalam Fire Station,13.105508,80.278214
way,1075921840,Fire station (unnamed),13.113332,80.296372
way,1134831516,Yelahanka Fire Station,13.125144,77.600951
node,13264599101,Fire station (unnamed),13.126604,99.873611
node,12181440340,Thiruvallur fire station,13.137825,79.907707
way,1396722475,Mulbagal Fire Station,13.178769,78.415939
way,1110808756,Airport Rescue and Fire Fighting Station,13.193503,77.702467
way,251882757,Airport Rescue and Fire Fighting Station,13.200908,77.703821
way,1157152068,Fire Brigade Diglipur,13.245556,92.975843
way,1134831515,Doddaballapur Fire Station,13.246288,77.551647
way,1074457140,NCTPS Fire Station,13.251232,80.327245
node,1465647252,Fire Station,13.258896,76.465006
node,5118895338,Fire station (unnamed),13.326636,76.247051
node,11247473279,Udupi Fire Station,13.327723,74.740036
way,1087704156,Fire station (unnamed),13.375369,77.866019
way,316759056,Fire station (unnamed),13.531283,99.823433
node,8919834459,Gauribidanur Fire Station,13.602388,77.524062
node,8919834460,Gudibanda Fire Station,13.672789,77.708281
node,405392184,Tirumala Fire Station,13.685232,79.35138
node,13617387174,Fire station (unnamed),13.705016,80.016542
way,1327803143,Fire station (unnamed),13.792978,76.263636
node,11861029198,Fire station (unnamed),13.868244,98.262818
node,1813605986,Shimoga Fire Brigade,13.930133,75.567526
node,4269529792,Fire Station,13.97523,98.118937
node,3073582840,Fire station (unnamed),14.020851,99.530363
node,13077596956,Fire station (unnamed),14.040077,99.545926
node,6860042066,ဇရစ်မီးသတ်တပ်ဖွဲ့,14.070635,98.190646
node,6860042065,မြန်မာနိုင်ငံမီးသတ်တပ်ဖွဲ့,14.083582,98.195099
node,7318461685,Fire station (unnamed),14.116776,98.149076
way,1292168478,Fire Station,14.118114,78.157452
node,7318461785,Fire station (unnamed),14.163744,98.521979
node,10609397888,Fire station (unnamed),14.239183,98.191204
node,5700717721,สถานีดับเพลิง อู่ทอง,14.37479,99.892214
node,1789651737,Davanagere Fire Station,14.458971,75.933042
way,222720965,Fire Station,14.78119,75.13545
node,5016657227,Fire station (unnamed),14.783026,76.000076
node,5003334123,Fire station (unnamed),14.834821,76.232507
node,12033842756,Fire Station,14.99046,78.987025
way,568934024,Canacona Fire Station and Emergency Station,15.00681,74.057914
node,3081416874,Fire station (unnamed),15.078051,76.540727
way,351498421,Ballari Fire Station,15.155023,76.912846
node,3207088571,BMM Fire station,15.1698,76.378404
way,430889485,Curchorem Fire Station,15.260332,74.103651
node,4269710993,Margao Fire Station,15.26933,73.970303
node,4868934824,ဘုရားသုံးဆူ မီးသတ်စခန်း,15.307224,98.380348
way,851636896,Fire station (unnamed),15.356733,75.079431
way,1482886951,Verna IDC fire Station,15.369663,73.935543
node,3797602962,Fire station (unnamed),15.388547,99.843311
node,4283907393,Fire station (unnamed),15.399766,73.82004
node,1474289502,Fire station (unnamed),15.427377,75.640398
way,1323671622,Fire station (unnamed),15.486861,73.817444
node,13974009301,fire station kuknur,15.496213,75.993683
node,13976806601,Fire station (unnamed),15.496213,75.993683
way,1124603005,Old Goa Fire Station,15.500167,73.914187
node,13341600672,Fire station (unnamed),15.509315,80.047444
way,1356611457,Porvorim Fire Station,15.523016,73.829576
way,1372586493,Pilerne FIre Station,15.532984,73.794031
way,1181844072,Mapusa Fire Station,15.59028,73.80905
way,1178513108,Manohar International Airport Fire Station,15.738443,73.854469
way,1178522830,Manohar International Airport Satellite Fire Station,15.747183,73.861708
node,6369635014,"Fire Station, Yemmiganur",15.755751,77.45824
node,6845945393,Belgaum Fire Station,15.842796,74.507966
node,11993365461,Fire Station,15.907441,80.473013
node,13833381803,Fire station (unnamed),16.004764,99.800798
way,711095156,Fire station (unnamed),16.024564,80.915246
node,5693972081,Fire station (unnamed),16.045558,98.11684
way,599909940,တံခွန်တိုင် နယ်မြေမီးသတ်စခန်း,16.073981,97.905714
way,1503478140,Fire station (unnamed),16.074272,99.857018
way,1524634205,Fire station (unnamed),16.122291,99.32902
node,6761263185,Fire station (unnamed),16.152189,94.756923
node,12252407644,Fire station (unnamed),16.186395,81.135548
way,1420327676,Fire station (unnamed),16.196913,81.199347
node,13900464946,อปพร.,16.203539,99.317022
node,6259755751,Fire station (unnamed),16.290143,97.540294
way,1525797635,Fire station (unnamed),16.293026,99.366731
node,6259755490,Fire station (unnamed),16.391724,97.552635
way,1545965690,Fire station (unnamed),16.434164,97.700793
node,4302877491,Fire Station ,16.436056,97.513068
node,6259757127,Fire station (unnamed),16.436485,97.512568
node,5031744370,Fire station (unnamed),16.447033,95.724528
node,5807326206,မြိုင်သာယာနယ်မြေမီးသတ်,16.454406,97.655003
node,5807026975,မောင်ငံ နယ်မြေမီးသတ်စခန်း,16.456124,97.632324
node,6259754814,မုဒူးမီးသတ်ရုံး,16.458348,97.543278
node,6259756353,Fire station (unnamed),16.461689,97.519265
node,4117117989,Fire station (unnamed),16.464444,97.623959
way,1546262852,Fire station (unnamed),16.466467,99.890408
node,12063375969,Fire station (unnamed),16.482803,99.524525
node,5807026970,နယ်မြေမီးသတ်စခန်း,16.48436,97.67558
